XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/02/2026 13:00,689624,690349,689401,690139,515,0.07,
01/02/2026 12:45,688833,689702,688405,689658,825,0.12,
01/02/2026 12:30,689345,689616,688381,688767,-578,-0.08,
01/02/2026 12:15,689753,690236,689282,689347,-406,-0.06,
01/02/2026 12:00,689343,689885,688958,689731,388,0.06,
01/02/2026 11:45,689682,689789,688961,689340,-342,-0.05,
01/02/2026 11:30,689329,689784,688949,689680,351,0.05,
01/02/2026 11:15,689501,690264,689282,689349,-152,-0.02,
01/02/2026 11:00,689473,689722,689286,689494,21,0.00,
01/02/2026 10:45,689176,689961,689176,689510,334,0.05,
01/02/2026 10:30,688067,689697,687685,689204,1137,0.16,
01/02/2026 10:15,688595,688645,687819,688054,-541,-0.08,
01/02/2026 10:00,688107,688607,688001,688596,489,0.07,
01/02/2026 09:45,688164,688632,688047,688060,-104,-0.02,
01/02/2026 09:30,688225,688417,688026,688139,-86,-0.01,
01/02/2026 09:15,688494,688743,687249,688224,-270,-0.04,
01/02/2026 09:00,688209,688776,688079,688492,283,0.04,
01/02/2026 08:45,688997,690034,688155,688193,-804,-0.12,
01/02/2026 08:30,688385,689019,688126,689019,634,0.09,
01/02/2026 08:15,688354,688483,687784,688385,31,0.00,
01/02/2026 08:00,687386,688562,687260,688354,968,0.14,
01/02/2026 07:45,686467,687615,686386,687415,948,0.14,
01/02/2026 07:30,686182,687240,685873,686487,305,0.04,
01/02/2026 07:15,686768,686959,685972,686180,-588,-0.09,
01/02/2026 07:00,686628,686992,686156,686886,258,0.04,
01/02/2026 06:45,686724,686983,686532,686644,-80,-0.01,
01/02/2026 06:30,687399,687417,686691,686725,-674,-0.10,
01/02/2026 06:15,686512,687423,686251,687344,832,0.12,
01/02/2026 06:00,687313,687400,686414,686506,-807,-0.12,
01/02/2026 05:45,686692,687414,686601,687302,610,0.09,
01/02/2026 05:30,686630,686892,686575,686705,75,0.01,
01/02/2026 05:15,686472,686916,686156,686633,161,0.02,
01/02/2026 05:00,685801,686875,685433,686482,681,0.10,
01/02/2026 04:45,686184,686271,685380,685745,-439,-0.06,
01/02/2026 04:30,685795,686201,685594,686177,382,0.06,
01/02/2026 04:15,685747,686086,685364,685789,42,0.01,
01/02/2026 04:00,685591,686226,685418,685764,173,0.03,
01/02/2026 03:45,685328,685652,685117,685594,266,0.04,
01/02/2026 03:30,684475,685525,684390,685333,858,0.13,
01/02/2026 03:15,684541,684804,684038,684465,-76,-0.01,
01/02/2026 03:00,683545,684959,683296,684586,1041,0.15,
01/02/2026 02:45,681434,683562,681410,683544,2110,0.31,
01/02/2026 02:30,680829,681693,680529,681426,597,0.09,
01/02/2026 02:15,680754,680966,680395,680829,75,0.01,
01/02/2026 02:00,680997,681560,680531,680748,-249,-0.04,
01/02/2026 01:45,680832,682002,680730,680997,165,0.02,
01/02/2026 01:30,680972,681520,680652,680827,-145,-0.02,
01/02/2026 01:15,680573,681162,680186,680961,388,0.06,
01/02/2026 01:00,681604,681925,680153,680585,-1019,-0.15,
01/02/2026 00:45,681399,681959,681163,681637,238,0.03,
01/02/2026 00:30,681324,681608,680994,681385,61,0.01,
01/02/2026 00:15,681265,681583,680413,681330,65,0.01,
01/02/2026 00:00,681520,681832,680892,681293,-227,-0.03,
01/01/2026 23:45,681286,682083,680638,681433,147,0.02,
01/01/2026 23:30,680874,681272,680401,681272,398,0.06,
01/01/2026 23:15,679242,681025,678849,680746,1504,0.22,
01/01/2026 23:00,678781,679942,677905,679218,437,0.06,
12/31/2025 22:00,678614.4,678614.4,678614.4,678614.4,0.0,0.00,
12/31/2025 19:45,675726,676135,675086,675666,-60,-0.01,
12/31/2025 19:30,676971,677056,675239,675733,-1238,-0.18,
12/31/2025 19:15,677116,677405,676819,676976,-140,-0.02,
12/31/2025 19:00,677757,677985,676837,677107,-650,-0.10,
12/31/2025 18:45,678075,678084,677092,677709,-366,-0.05,
12/31/2025 18:30,678931,679057,677565,678086,-845,-0.12,
12/31/2025 18:15,678700,679370,678269,678978,278,0.04,
12/31/2025 18:00,677676.1,678721,677676.1,678704,1027.9,0.15,
12/31/2025 17:45,678283,678480,677595,677818,-465,-0.07,
12/31/2025 17:30,677499,678923,677239,678338,839,0.12,
12/31/2025 17:15,677890,678079,677728,677894,4,0.00,
12/31/2025 17:00,677914,678006,677767,677984,70,0.01,
12/31/2025 16:45,677415.7,677910.5,677415.7,677771.5,355.8,0.05,
12/31/2025 16:30,678176,678692.2,677426.5,677555.5,-620.5,-0.09,
12/31/2025 16:15,677750.5,678715.8,677750.5,678169.6,419.1,0.06,
12/31/2025 16:00,679837,679837,679240,679348,-489,-0.07,
12/31/2025 15:45,679332,679823,678933,679508,176,0.03,
12/31/2025 15:30,680649,681069,680345,680447,-202,-0.03,
12/31/2025 15:15,679993,680484,679152,679240,-753,-0.11,
12/31/2025 15:00,681986,682020,680514,680752,-1234,-0.18,
12/31/2025 14:45,681510,682289,681111,682042,532,0.08,
12/31/2025 14:30,680618,682097,679834,679996,-622,-0.09,
12/31/2025 14:15,680955,681778,680007,680173,-782,-0.11,
12/31/2025 14:00,681473,681845,680188,680594,-879,-0.13,
12/31/2025 13:45,679291,681832,679149,681469,2178,0.32,
12/31/2025 13:30,678049,679613,677938,679317,1268,0.19,
12/31/2025 13:15,675402,678186,675376,678018,2616,0.39,
12/31/2025 13:00,675501,676100,674812,675433,-68,-0.01,
12/31/2025 12:45,676170,676230,675035,675496,-674,-0.10,
12/31/2025 12:30,674501,676314,674501,676206,1705,0.25,
12/31/2025 12:15,674756,674943,673838,674487,-269,-0.04,
12/31/2025 12:00,675077,675217,674105,674773,-304,-0.05,
12/31/2025 11:45,675521,676110,674965,675114,-407,-0.06,
12/31/2025 11:30,675312,675643,674741,675515,203,0.03,
12/31/2025 11:15,675764,676021,675100,675356,-408,-0.06,
12/31/2025 11:00,674597,675971,674275,675738,1141,0.17,
12/31/2025 10:45,674658,675190,673989,674568,-90,-0.01,
12/31/2025 10:30,676613,676613,674254,674657,-1956,-0.29,
12/31/2025 10:15,677863,678363,676636,676666,-1197,-0.18,
12/31/2025 10:00,677533,678458,677501,677872,339,0.05,
12/31/2025 09:45,678938,679106,677453,677543,-1395,-0.21,
12/31/2025 09:30,677032,679167,676985,678945,1913,0.28,
12/31/2025 09:15,676035,677589,675155,677048,1013,0.15,
12/31/2025 09:00,674505,676226,674505,676039,1534,0.23,
12/31/2025 08:45,675850,676064,673913,674532,-1318,-0.20,
12/31/2025 08:30,677340,677340,675798,675843,-1497,-0.22,
12/31/2025 08:15,676597,677436,676487,677343,746,0.11,
12/31/2025 08:00,678024,678358,676215,676615,-1409,-0.21,
12/31/2025 07:45,678318,678388,677558,678076,-242,-0.04,
12/31/2025 07:30,678610,678834,678038,678327,-283,-0.04,
12/31/2025 07:15,678291,678902,678017,678560,269,0.04,
12/31/2025 07:00,677839,678565,677200,678345,506,0.07,
12/31/2025 06:45,675541,677896,675184,677800,2259,0.33,
12/31/2025 06:30,674542,676026,674206,675541,999,0.15,
12/31/2025 06:15,673264,674759,672346,674558,1294,0.19,
12/31/2025 06:00,671080,673650,669266,673283,2203,0.33,
12/31/2025 05:45,677039,677481,669488,671017,-6022,-0.90,
12/31/2025 05:30,679903,679922,676306,677083,-2820,-0.42,
12/31/2025 05:15,678707,680007,678450,679909,1202,0.18,
12/31/2025 05:00,678572,678707,677916,678670,98,0.01,
12/31/2025 04:45,679935,680523,678261,678537,-1398,-0.21,
12/31/2025 04:30,680324,680586,679848,679914,-410,-0.06,
12/31/2025 04:15,680514,680624,679668,680302,-212,-0.03,
12/31/2025 04:00,680441,680956,679917,680534,93,0.01,
12/31/2025 03:45,680999,681089,679942,680446,-553,-0.08,
12/31/2025 03:30,680398,681225,680062,680997,599,0.09,
12/31/2025 03:15,682031,682123,679201,680368,-1663,-0.24,
12/31/2025 03:00,680467,682056,679557,682026,1559,0.23,
12/31/2025 02:45,683692,683789,680197,680447,-3245,-0.48,
12/31/2025 02:30,682200,683798,681731,683683,1483,0.22,
12/31/2025 02:15,682401,682765,681632,682204,-197,-0.03,
12/31/2025 02:00,682908,683742,682244,682385,-523,-0.08,
12/31/2025 01:45,683196,683865,682760,682892,-304,-0.04,
12/31/2025 01:30,680927,683355,680891,683197,2270,0.33,
12/31/2025 01:15,680869,681812,680148,680920,51,0.01,
12/31/2025 01:00,679052,681179,678236,680850,1798,0.26,
12/31/2025 00:45,679371,679385,678316,679063,-308,-0.05,
12/31/2025 00:30,678153,679964,677799,679362,1209,0.18,
12/31/2025 00:15,678926,679353,677645,678161,-765,-0.11,
12/31/2025 00:00,678509,679286,678496,679019,510,0.08,
12/30/2025 23:45,678748,678820,677826,678546,-202,-0.03,
12/30/2025 23:30,677819,679284,677195,678721,902,0.13,
12/30/2025 23:15,679462,679462,677482,677828,-1634,-0.24,
12/30/2025 23:00,678985,679549,678495,679462,477,0.07,
12/30/2025 21:45,680495,680616,678130,678693,-1802,-0.27,
12/30/2025 21:30,680123,680616,679808,680505,382,0.06,
12/30/2025 21:15,680498,680619,680010,680121,-377,-0.06,
12/30/2025 21:00,679622,680753,679489,680501,879,0.13,
12/30/2025 20:45,680679,681059,679211,679577,-1102,-0.16,
12/30/2025 20:30,680916,681709,680244,680661,-255,-0.04,
12/30/2025 20:15,680542,681275,680276,680891,349,0.05,
12/30/2025 20:00,680810,680920,679075,680543,-267,-0.04,
12/30/2025 19:45,682795,682829,679092,680772,-2023,-0.30,
12/30/2025 19:30,683017,683105,682307,682791,-226,-0.03,
12/30/2025 19:15,683227,683318,682794,683020,-207,-0.03,
12/30/2025 19:00,682947,683662,682823,683225,278,0.04,
12/30/2025 18:45,683103,683372,682687,682947,-156,-0.02,
12/30/2025 18:30,683611,683656,682624,683079,-532,-0.08,
12/30/2025 18:15,683611,683823,682927,683597,-14,0.00,
12/30/2025 18:00,683468,684705,683286,683624,156,0.02,
12/30/2025 17:45,683419,683589,682750,683440,21,0.00,
12/30/2025 17:30,684384,684627,682896,683294,-1090,-0.16,
12/30/2025 17:15,684157,684529,683633,684376,219,0.03,
12/30/2025 17:00,684343,684807,684141,684141,-202,-0.03,
12/30/2025 16:45,682824,684636,682544,684352,1528,0.22,
12/30/2025 16:30,683000,683000,681989,682720,-280,-0.04,
12/30/2025 16:15,682134,683437,682134,683018,884,0.13,
12/30/2025 16:00,681934.2,681998.1,681075.6,681242,-692.2,-0.10,
12/30/2025 15:45,683067,683578,683009,683009,-58,-0.01,
12/30/2025 15:30,683446,684846,683446,683625,179,0.03,
12/30/2025 15:15,683673.5,684463.9,683284.8,683708,34.5,0.01,
12/30/2025 15:00,682620,683939,681961,683309,689,0.10,
12/30/2025 14:45,683400,683639,681006,682633,-767,-0.11,
12/30/2025 14:30,686250,686531,682253,683360,-2890,-0.42,
12/30/2025 14:15,685385,686347,684528,686267,882,0.13,
12/30/2025 14:00,685718,685999,684745,685389,-329,-0.05,
12/30/2025 13:45,683939,685892,683512,685746,1807,0.26,
12/30/2025 13:30,686242,686248,683500,683912,-2330,-0.34,
12/30/2025 13:15,686902,686972,685760,686244,-658,-0.10,
12/30/2025 13:00,686634,687281,686314,686909,275,0.04,
12/30/2025 12:45,686564,686921,686033,686626,62,0.01,
12/30/2025 12:30,685596,686940,685397,686537,941,0.14,
12/30/2025 12:15,685748,686421,685321,685597,-151,-0.02,
12/30/2025 12:00,683722,685923,683590,685781,2059,0.30,
12/30/2025 11:45,683799,683940,683347,683713,-86,-0.01,
12/30/2025 11:30,684345,684389,683634,683804,-541,-0.08,
12/30/2025 11:15,683936,684416,683750,684342,406,0.06,
12/30/2025 11:00,683779,684446,683635,683945,166,0.02,
12/30/2025 10:45,683048,683687,682468,683654,606,0.09,
12/30/2025 10:30,683283,684596,682885,683048,-235,-0.03,
12/30/2025 10:15,682337,683332,682134,683277,940,0.14,
12/30/2025 10:00,681974,682372,680981,682328,354,0.05,
12/30/2025 09:45,681472,682199,681241,682012,540,0.08,
12/30/2025 09:30,681405,682015,681296,681461,56,0.01,
12/30/2025 09:15,682031,682499,681201,681405,-626,-0.09,
12/30/2025 09:00,681124,682211,681069,682024,900,0.13,
12/30/2025 08:45,680044,681206,679353,681108,1064,0.16,
12/30/2025 08:30,678910,680063,678546,680002,1092,0.16,
12/30/2025 08:15,681923,681936,678676,678879,-3044,-0.45,
12/30/2025 08:00,682295,682472,680663,681923,-372,-0.05,
12/30/2025 07:45,683060,683795,682055,682285,-775,-0.11,
12/30/2025 07:30,682033,683076,681707,683045,1012,0.15,
12/30/2025 07:15,681839,682425,681674,681973,134,0.02,
12/30/2025 07:00,681335,681777,680483,681777,442,0.06,
12/30/2025 06:45,680720,681629,680360,681332,612,0.09,
12/30/2025 06:30,681598,682335,680630,680715,-883,-0.13,
12/30/2025 06:15,682535,682689,681038,681570,-965,-0.14,
12/30/2025 06:00,683385,683467,682404,682501,-884,-0.13,
12/30/2025 05:45,682988,683711,682690,683382,394,0.06,
12/30/2025 05:30,682586,683662,682586,682968,382,0.06,
12/30/2025 05:15,681375,683365,681064,682566,1191,0.17,
12/30/2025 05:00,681330,681459,680430,681369,39,0.01,
12/30/2025 04:45,682061,682115,680857,681326,-735,-0.11,
12/30/2025 04:30,681878,682644,681744,682076,198,0.03,
12/30/2025 04:15,681801,682255,681669,681867,66,0.01,
12/30/2025 04:00,681491,681984,681243,681784,293,0.04,
12/30/2025 03:45,682171,682283,680961,681491,-680,-0.10,
12/30/2025 03:30,683036,683036,681784,682171,-865,-0.13,
12/30/2025 03:15,681982,683173,681675,682868,886,0.13,
12/30/2025 03:00,682175,682594,681423,681900,-275,-0.04,
12/30/2025 02:45,680896,682551,680896,682163,1267,0.19,
12/30/2025 02:30,681150,681346,679987,680883,-267,-0.04,
12/30/2025 02:15,680961,681443,680558,681190,229,0.03,
12/30/2025 02:00,681420,681585,680275,680985,-435,-0.06,
12/30/2025 01:45,679519,681429,679458,681420,1901,0.28,
12/30/2025 01:30,678030,679926,677171,679527,1497,0.22,
12/30/2025 01:15,677579,678903,677579,678038,459,0.07,
12/30/2025 01:00,678390,678390,676177,677587,-803,-0.12,
12/30/2025 00:45,678022,678658,677382,678381,359,0.05,
12/30/2025 00:30,678998,679126,677762,677992,-1006,-0.15,
12/30/2025 00:15,678762,679265,678043,678968,206,0.03,
12/30/2025 00:00,678214,678890,677328,678785,571,0.08,
12/29/2025 23:45,677238,678584,677107,678233,995,0.15,
12/29/2025 23:30,677096,677264,676358,677218,122,0.02,
12/29/2025 23:15,677665,677722,675029,677112,-553,-0.08,
12/29/2025 23:00,676207,678651,676114,677713,1506,0.22,
12/29/2025 21:45,676395,676896,675659,676751,356,0.05,
12/29/2025 21:30,676598,676681,675751,676433,-165,-0.02,
12/29/2025 21:15,677348,677678,676445,676569,-779,-0.12,
12/29/2025 21:00,677238,677924,676254,677323,85,0.01,
12/29/2025 20:45,677044,677356,675713,677275,231,0.03,
12/29/2025 20:30,678104,678183,675914,677048,-1056,-0.16,
12/29/2025 20:15,678116,678194,677457,678088,-28,0.00,
12/29/2025 20:00,677448,678498,677387,678167,719,0.11,
12/29/2025 19:45,677082,677616,676868,677456,374,0.06,
12/29/2025 19:30,677177,677879,676822,677132,-45,-0.01,
12/29/2025 19:15,678056,678215,676840,677173,-883,-0.13,
12/29/2025 19:00,677402,678051,676911,678015,613,0.09,
12/29/2025 18:45,677241,677465,676794,677394,153,0.02,
12/29/2025 18:30,675785.4,677811,675785.4,677191,1405.6,0.21,
12/29/2025 18:15,676931,677448,675970,675970,-961,-0.14,
12/29/2025 18:00,676742,677495,676429,676691,-51,-0.01,
12/29/2025 17:45,675216,676208,675191,675736,520,0.08,
12/29/2025 17:30,676642,676693,676287,676364,-278,-0.04,
12/29/2025 17:15,675800.3,676287.9,675017,675616.4,-183.9,-0.03,
12/29/2025 17:00,677615.4,677615.4,675525.1,675701.7,-1913.7,-0.28,
12/29/2025 16:45,676284.7,678522.5,676284.7,678116.9,1832.2,0.27,
12/29/2025 16:30,676448.7,677463.6,675936.7,676120.6,-328.1,-0.05,
12/29/2025 16:15,675889,676547.3,674962.3,676459.8,570.8,0.08,
12/29/2025 16:00,674423.6,676738.5,674423.6,676738.5,2314.9,0.34,
12/29/2025 15:45,676955,677925,676770,677089,134,0.02,
12/29/2025 15:30,675352,676864,675028,676789,1437,0.21,
12/29/2025 15:15,678766,678771,675995,676118,-2648,-0.39,
12/29/2025 15:00,681561,681612,677437,677438,-4123,-0.61,
12/29/2025 14:45,683421,684864,682819,683451,30,0.00,
12/29/2025 14:30,686216,686216,681028,681492,-4724,-0.69,
12/29/2025 14:15,687782,688835,685794,686242,-1540,-0.22,
12/29/2025 14:00,691549,691549,685742,687709,-3840,-0.56,
12/29/2025 13:45,692955,692972,689246,691497,-1458,-0.21,
12/29/2025 13:30,696762,697021,692592,692996,-3766,-0.54,
12/29/2025 13:15,697381,697780,695807,696781,-600,-0.09,
12/29/2025 13:00,698695,699000,697247,697376,-1319,-0.19,
12/29/2025 12:45,698607,698792,698259,698700,93,0.01,
12/29/2025 12:30,697405,698817,697219,698602,1197,0.17,
12/29/2025 12:15,696938,697560,696784,697394,456,0.07,
12/29/2025 12:00,696239,697500,696141,696951,712,0.10,
12/29/2025 11:45,696706,697060,695455,696245,-461,-0.07,
12/29/2025 11:30,698678,698774,693812,696678,-2000,-0.29,
12/29/2025 11:15,697747,699084,697707,698695,948,0.14,
12/29/2025 11:00,698100,698142,697193,697738,-362,-0.05,
12/29/2025 10:45,697604,698168,697332,698100,496,0.07,
12/29/2025 10:30,698117,698123,697141,697615,-502,-0.07,
12/29/2025 10:15,699526,699566,698118,698126,-1400,-0.20,
12/29/2025 10:00,699825,700127,699271,699510,-315,-0.05,
12/29/2025 09:45,699774,699974,699288,699807,33,0.00,
12/29/2025 09:30,698427,699758,697348,699744,1317,0.19,
12/29/2025 09:15,699004,699200,697416,698490,-514,-0.07,
12/29/2025 09:00,697887,699111,697768,698998,1111,0.16,
12/29/2025 08:45,699192,699422,696462,697909,-1283,-0.18,
12/29/2025 08:30,700726,700914,699146,699231,-1495,-0.21,
12/29/2025 08:15,701114,701922,700642,700763,-351,-0.05,
12/29/2025 08:00,698809,701412,698000,701095,2286,0.33,
12/29/2025 07:45,699116,699912,698900,699101,-15,0.00,
12/29/2025 07:30,699023,700206,698888,699112,89,0.01,
12/29/2025 07:15,699492,700678,699033,699045,-447,-0.06,
12/29/2025 07:00,698881.9,699749,695746.2,699357,475.1,0.07,
12/29/2025 06:45,701232.8,701232.8,698531.4,698531.4,-2701.4,-0.39,
12/29/2025 06:30,701315.4,702593.3,701315.4,701695,379.6,0.05,
12/29/2025 06:15,704296.4,704296.4,701451.1,701451.1,-2845.3,-0.41,
12/29/2025 06:00,703916,704759,703657.7,704681.7,765.7,0.11,
12/29/2025 05:45,705514,705661.8,704559.5,704559.5,-954.5,-0.14,
12/29/2025 05:30,705777.4,706231.2,705704,705857.9,80.5,0.01,
12/29/2025 05:15,705756.7,705949.3,705530.7,705799.2,42.5,0.01,
12/29/2025 05:00,705952,705952,705418.6,705693.8,-258.2,-0.04,
12/29/2025 04:45,705750.9,706027.8,705604.4,706027.8,276.9,0.04,
12/29/2025 04:30,705577,706083.7,705349.5,705815.8,238.8,0.03,
12/29/2025 04:15,706140,706233,705317.7,705562.2,-577.8,-0.08,
12/29/2025 04:00,706244.4,706367.2,705405,706195.2,-49.2,-0.01,
12/29/2025 03:45,706261.9,706261.9,705704.9,706191.2,-70.7,-0.01,
12/29/2025 03:30,705733.7,706377.3,705733.7,706108.2,374.5,0.05,
12/29/2025 03:15,706042.5,706381,705545.6,705545.6,-496.9,-0.07,
12/29/2025 03:00,705862.9,706471.2,705295.2,706309.5,446.6,0.06,
12/29/2025 02:45,705742.4,706183.4,705277.2,705613.3,-129.1,-0.02,
12/29/2025 02:30,705976.4,706381.3,705380.4,705908.1,-68.3,-0.01,
12/29/2025 02:15,705061.4,706177.7,705009.5,706177.7,1116.3,0.16,
12/29/2025 02:00,702823.2,705013.8,702823.2,705013.8,2190.6,0.31,
12/29/2025 01:45,703107.1,704136,702579,702750.4,-356.7,-0.05,
12/29/2025 01:30,702883.8,703692.9,702341.9,702855,-28.8,0.00,
12/29/2025 01:15,705028.1,705588.9,702461.4,702487.5,-2540.6,-0.36,
12/29/2025 01:00,702867.6,705143.9,702436.1,705143.9,2276.3,0.32,
12/29/2025 00:45,701010.8,703552.9,701010.8,703541.1,2530.3,0.36,
12/29/2025 00:30,700624.7,702891.8,699407.8,701783.5,1158.8,0.17,
12/29/2025 00:15,705649.9,705649.9,700035.7,700035.7,-5614.2,-0.80,
12/29/2025 00:00,709142,709142,706060,706744,-2398,-0.34,
12/28/2025 23:45,710014,710178,708849,709066,-948,-0.13,
12/28/2025 23:30,709690,710539,709160,710006,316,0.04,
12/28/2025 23:15,709400,710617,709258,709732,332,0.05,
12/28/2025 23:00,711754,712134,707923,709407,-2347,-0.33,
12/26/2025 21:45,709507,709522,709383,709470,-37,-0.01,
12/26/2025 21:30,709305,709825,709182,709498,193,0.03,
12/26/2025 21:15,708944.3,709434.5,708892.7,709434.5,490.2,0.07,
12/26/2025 21:00,709282.0,709282.0,708660.2,708728.6,-553.4,-0.08,
12/26/2025 20:45,708962.6,709290.7,708337.8,709290.7,328.1,0.05,
12/26/2025 20:30,707956.5,708833.0,707956.5,708833.0,876.5,0.12,
12/26/2025 20:15,709335.8,709555.0,707844.5,707957.3,-1378.5,-0.19,
12/26/2025 20:00,708091.3,709215.1,707790.5,709215.1,1123.8,0.16,
12/26/2025 19:45,708433.7,708433.7,707657.1,708032.4,-401.3,-0.06,
12/26/2025 19:30,709099.4,709099.4,708002.6,708344.6,-754.8,-0.11,
12/26/2025 19:15,709814.6,709953.4,709029.1,709029.1,-785.5,-0.11,
12/26/2025 19:00,709285.4,709617.1,708631.8,709617.1,331.7,0.05,
12/26/2025 18:45,708701.7,709305.0,708469.3,708972.6,270.9,0.04,
12/26/2025 18:30,707429.3,708690.7,707088.0,708625.3,1196.0,0.17,
12/26/2025 18:15,707262.1,707943.4,707262.1,707812.0,549.9,0.08,
12/26/2025 18:00,707296.5,707501.4,706978.4,707218.2,-78.3,-0.01,
12/26/2025 17:45,707172.3,708315.4,706941.6,707291.0,118.7,0.02,
12/26/2025 17:30,707419.1,707803.0,706960.2,707256.0,-163.1,-0.02,
12/26/2025 17:15,708638.3,709076.4,708025.0,708213.5,-424.8,-0.06,
12/26/2025 17:00,710529.1,710529.1,709787.5,709787.5,-741.6,-0.10,
12/26/2025 16:45,710982.7,711390.9,710027.9,711023.7,41.0,0.01,
12/26/2025 16:30,712015.0,712117.0,711064.0,711263.0,-752.0,-0.11,
12/26/2025 16:15,710348.0,711992.0,710348.0,711912.0,1564.0,0.22,
12/26/2025 16:00,710943.6,711766.0,709993.1,709993.1,-950.5,-0.13,
12/26/2025 15:45,709866.7,711390.0,709866.7,711016.5,1149.8,0.16,
12/26/2025 15:30,709143.8,710774.8,709143.8,709691.2,547.4,0.08,
12/26/2025 15:15,707843.5,708887.9,707843.5,708887.9,1044.4,0.15,
12/26/2025 15:00,707375.8,707989.5,707367.6,707989.5,613.7,0.09,
12/26/2025 14:45,707138.8,707703.6,706652.6,707703.6,564.8,0.08,
12/26/2025 14:30,708045.4,708428.4,707112.5,707394.5,-650.9,-0.09,
12/26/2025 14:15,707387.0,707909.2,707124.6,707650.2,263.2,0.04,
12/26/2025 14:00,707302.3,707449.8,706921.3,707119.7,-182.6,-0.03,
12/26/2025 13:45,706264.3,707376.0,706010.9,707376.0,1111.7,0.16,
12/26/2025 13:30,706133.5,707220.1,706133.5,706888.9,755.4,0.11,
12/26/2025 13:15,705798.2,706054.9,705645.6,706054.9,256.7,0.04,
12/26/2025 13:00,705034.4,705842.0,705034.4,705622.0,587.6,0.08,
12/26/2025 12:45,705885.3,706058.8,705736.7,705736.7,-148.6,-0.02,
12/26/2025 12:30,705922.3,706178.2,705866.3,705866.3,-56.0,-0.01,
12/26/2025 12:15,705618.8,705868.4,705389.4,705707.9,89.1,0.01,
12/26/2025 12:00,705194.0,705566.8,705194.0,705566.8,372.8,0.05,
12/26/2025 11:45,704776.4,705029.8,704350.3,705029.8,253.4,0.04,
12/26/2025 11:30,704476.0,704997.6,704257.5,704582.2,106.2,0.02,
12/26/2025 11:15,705247.4,705552.8,704443.4,704472.9,-774.5,-0.11,
12/26/2025 11:00,706011.2,706069.1,704521.1,705290.6,-720.6,-0.10,
12/26/2025 10:45,706182.6,706182.6,705596.5,705911.0,-271.6,-0.04,
12/26/2025 10:30,707115.9,707179.2,706239.1,706239.1,-876.8,-0.12,
12/26/2025 10:15,706688.6,707290.1,706398.5,706985.9,297.3,0.04,
12/26/2025 10:00,706019.7,706666.1,705930.6,706620.6,600.9,0.09,
12/26/2025 09:45,706120.8,706199.4,705991.2,705991.2,-129.6,-0.02,
12/26/2025 09:30,706533.7,706768.6,706102.9,706102.9,-430.8,-0.06,
