Date,Open,High,Low,Close,Change,Change%
2024.01.02 00:00,140.83000,140.96100,140.81600,140.88100,0.05100,0.04
2024.01.02 01:00,140.91400,141.12700,140.80700,141.11100,0.19700,0.14
2024.01.02 02:00,141.11100,141.37900,141.09500,141.14100,0.03000,0.02
2024.01.02 03:00,141.14200,141.45700,141.14000,141.43500,0.29300,0.21
2024.01.02 04:00,141.43500,141.66800,141.36100,141.55900,0.12400,0.09
2024.01.02 05:00,141.55800,141.66700,141.48900,141.49800,-0.06000,-0.04
2024.01.02 06:00,141.49800,141.58300,141.45900,141.53500,0.03700,0.03
2024.01.02 07:00,141.53500,141.53500,141.34500,141.34600,-0.18900,-0.13
2024.01.02 08:00,141.34600,141.55100,141.33200,141.52200,0.17600,0.12
2024.01.02 09:00,141.52200,141.60500,141.38900,141.54600,0.02400,0.02
2024.01.02 10:00,141.54600,141.59300,141.29300,141.55500,0.00900,0.01
2024.01.02 11:00,141.55400,141.67200,141.37800,141.55200,-0.00200,-0.00
2024.01.02 12:00,141.55300,141.77200,141.50900,141.65100,0.09800,0.07
2024.01.02 13:00,141.65100,141.88800,141.59200,141.82700,0.17600,0.12
2024.01.02 14:00,141.82600,142.21600,141.79000,142.11600,0.29000,0.20
2024.01.02 15:00,142.11700,142.15900,141.88600,142.14800,0.03100,0.02
2024.01.02 16:00,142.14800,142.17400,141.51100,141.55100,-0.59700,-0.42
2024.01.02 17:00,141.55100,142.01600,141.50000,141.92800,0.37700,0.27
2024.01.02 18:00,141.92600,141.99900,141.71500,141.88900,-0.03700,-0.03
2024.01.02 19:00,141.89000,141.99500,141.87600,141.96800,0.07800,0.05
2024.01.02 20:00,141.96800,141.99900,141.84400,141.94700,-0.02100,-0.01
2024.01.02 21:00,141.94800,141.99700,141.89800,141.94400,-0.00400,-0.00
2024.01.02 22:00,141.94400,141.97100,141.80000,141.95600,0.01200,0.01
2024.01.02 23:00,141.95400,142.01200,141.93500,141.97000,0.01600,0.01
2024.01.03 00:00,141.82900,142.06300,141.77100,142.04200,0.21300,0.15
2024.01.03 01:00,142.04500,142.18000,142.02700,142.17100,0.12600,0.09
2024.01.03 02:00,142.17100,142.17100,141.85600,141.95200,-0.21900,-0.15
2024.01.03 03:00,141.95200,142.13400,141.90500,142.01200,0.06000,0.04
2024.01.03 04:00,142.01200,142.06300,141.98400,142.03300,0.02100,0.01
2024.01.03 05:00,142.03400,142.04000,141.87600,141.88700,-0.14700,-0.10
2024.01.03 06:00,141.88700,141.94000,141.85500,141.90000,0.01300,0.01
2024.01.03 07:00,141.90000,142.13100,141.89900,142.12200,0.22200,0.16
2024.01.03 08:00,142.12200,142.13000,142.01000,142.08600,-0.03600,-0.03
2024.01.03 09:00,142.08400,142.47000,142.03400,142.41900,0.33500,0.24
2024.01.03 10:00,142.42000,142.64700,142.39800,142.57400,0.15400,0.11
2024.01.03 11:00,142.57400,142.71300,142.50000,142.63800,0.06400,0.04
2024.01.03 12:00,142.63800,142.79600,142.60000,142.64900,0.01100,0.01
2024.01.03 13:00,142.64900,142.98100,142.58900,142.93400,0.28500,0.20
2024.01.03 14:00,142.93300,142.99000,142.78900,142.93500,0.00200,0.00
2024.01.03 15:00,142.93500,143.08600,142.81700,143.01900,0.08400,0.06
2024.01.03 16:00,143.01800,143.41300,142.96100,143.23000,0.21200,0.15
2024.01.03 17:00,143.24100,143.72900,142.81300,143.59800,0.35700,0.25
2024.01.03 18:00,143.59800,143.59900,143.33900,143.55300,-0.04500,-0.03
2024.01.03 19:00,143.55200,143.72600,143.49200,143.60200,0.05000,0.03
2024.01.03 20:00,143.60400,143.67000,143.46100,143.56700,-0.03700,-0.03
2024.01.03 21:00,143.56800,143.73100,143.13100,143.23500,-0.33300,-0.23
2024.01.03 22:00,143.23600,143.27500,143.11400,143.22800,-0.00800,-0.01
2024.01.03 23:00,143.22800,143.30800,143.21900,143.28800,0.06000,0.04
2024.01.04 00:00,143.28900,143.28900,143.09900,143.12800,-0.16100,-0.11
2024.01.04 01:00,143.13900,143.14200,142.94600,142.99500,-0.14400,-0.10
2024.01.04 02:00,142.99500,143.31800,142.85000,143.26500,0.27000,0.19
2024.01.04 03:00,143.26500,143.44600,143.11500,143.42600,0.16100,0.11
2024.01.04 04:00,143.42600,143.48400,143.34400,143.46900,0.04300,0.03
2024.01.04 05:00,143.46900,143.47000,143.22000,143.34100,-0.12800,-0.09
2024.01.04 06:00,143.34100,143.60100,143.32800,143.56200,0.22100,0.15
2024.01.04 07:00,143.56300,143.89600,143.56300,143.77400,0.21100,0.15
2024.01.04 08:00,143.77300,143.80400,143.51400,143.52400,-0.24900,-0.17
2024.01.04 09:00,143.52400,143.58300,143.17900,143.37400,-0.15000,-0.10
2024.01.04 10:00,143.37400,143.64400,143.36200,143.58900,0.21500,0.15
2024.01.04 11:00,143.58900,143.89500,143.56600,143.86700,0.27800,0.19
2024.01.04 12:00,143.86700,144.26900,143.86600,144.25200,0.38500,0.27
2024.01.04 13:00,144.25200,144.29500,144.13500,144.25500,0.00300,0.00
2024.01.04 14:00,144.25500,144.26400,144.06100,144.22000,-0.03500,-0.02
2024.01.04 15:00,144.21900,144.55500,144.11000,144.53700,0.31800,0.22
2024.01.04 16:00,144.53700,144.85200,144.51700,144.78400,0.24700,0.17
2024.01.04 17:00,144.78400,144.80000,144.47000,144.66200,-0.12200,-0.08
2024.01.04 18:00,144.66000,144.66200,144.45800,144.58900,-0.07100,-0.05
2024.01.04 19:00,144.58800,144.64700,144.50800,144.59400,0.00600,0.00
2024.01.04 20:00,144.59300,144.70600,144.54300,144.59800,0.00500,0.00
2024.01.04 21:00,144.59800,144.63900,144.51000,144.57400,-0.02400,-0.02
2024.01.04 22:00,144.57500,144.60700,144.50900,144.58700,0.01200,0.01
2024.01.04 23:00,144.58000,144.66300,144.56500,144.62200,0.04200,0.03
2024.01.05 00:00,144.51800,144.61900,144.51800,144.59000,0.07200,0.05
2024.01.05 01:00,144.59100,144.77300,144.58900,144.77100,0.18000,0.12
2024.01.05 02:00,144.77100,144.90000,144.65400,144.79700,0.02600,0.02
2024.01.05 03:00,144.79700,144.84100,144.66700,144.73900,-0.05800,-0.04
2024.01.05 04:00,144.73900,144.83900,144.67400,144.81300,0.07400,0.05
2024.01.05 05:00,144.81200,144.95200,144.76500,144.92200,0.11000,0.08
2024.01.05 06:00,144.92300,144.94400,144.79600,144.84600,-0.07700,-0.05
2024.01.05 07:00,144.84600,144.87200,144.65400,144.72400,-0.12200,-0.08
2024.01.05 08:00,144.72300,145.37000,144.69300,145.23800,0.51500,0.36
2024.01.05 09:00,145.23800,145.25300,144.96200,145.07700,-0.16100,-0.11
2024.01.05 10:00,145.07700,145.10400,144.85200,145.07600,-0.00100,-0.00
2024.01.05 11:00,145.07700,145.20500,145.00300,145.18400,0.10700,0.07
2024.01.05 12:00,145.18500,145.37800,145.17800,145.21100,0.02600,0.02
2024.01.05 13:00,145.21100,145.35300,145.16600,145.26700,0.05600,0.04
2024.01.05 14:00,145.26700,145.29900,145.07000,145.09200,-0.17500,-0.12
2024.01.05 15:00,145.09200,145.97900,145.05200,145.46600,0.37400,0.26
2024.01.05 16:00,145.46500,145.48400,144.93000,145.08800,-0.37700,-0.26
2024.01.05 17:00,145.08500,145.09000,143.80600,144.12900,-0.95600,-0.66
2024.01.05 18:00,144.12900,144.54500,144.06600,144.52600,0.39700,0.28
2024.01.05 19:00,144.52200,144.82600,144.51700,144.74200,0.22000,0.15
2024.01.05 20:00,144.74300,144.89000,144.60700,144.62800,-0.11500,-0.08
2024.01.05 21:00,144.62900,144.69800,144.49200,144.65700,0.02800,0.02
2024.01.05 22:00,144.65700,144.76300,144.62100,144.74500,0.08800,0.06
2024.01.05 23:00,144.73800,144.77800,144.54200,144.55800,-0.18000,-0.12
2024.01.08 00:00,144.44100,144.60900,144.39400,144.55600,0.11500,0.08
2024.01.08 01:00,144.54700,144.91800,144.53000,144.71800,0.17100,0.12
2024.01.08 02:00,144.71800,144.79600,144.58100,144.58800,-0.13000,-0.09
2024.01.08 03:00,144.58900,144.66100,144.31700,144.37300,-0.21600,-0.15
2024.01.08 04:00,144.37400,144.56100,144.37400,144.52100,0.14700,0.10
2024.01.08 05:00,144.52100,144.55000,144.31000,144.48600,-0.03500,-0.02
2024.01.08 06:00,144.48600,144.53500,144.39300,144.45900,-0.02700,-0.02
